City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
422,santiago,-33.4569,-70.6483,26.81,45,0,2.06,CL,1669906243
423,honiara,-9.4333,159.95,25.66,85,100,0.65,SB,1669906244
424,vila velha,-20.3297,-40.2925,23.97,94,100,5.14,BR,1669906246
425,bosaso,11.2842,49.1816,26.99,83,75,4.63,SO,1669906247
426,kyaikkami,16.08,97.5675,27.64,78,93,1.34,MM,1669906248
427,quelimane,-17.8786,36.8883,29.97,51,40,5.36,MZ,1669906250
428,panguipulli,-39.6333,-72.3333,20.28,23,0,1.41,CL,1669906250
429,rexburg,43.826,-111.7897,0.99,60,100,0.0,US,1669906251
430,morondava,-20.2833,44.2833,27.73,71,91,5.77,MG,1669906252
431,neryungri,56.6709,124.6491,-24.94,92,100,3.55,RU,1669905959
432,blagoyevo,63.3667,47.9167,-8.0,97,100,1.36,RU,1669906253
433,carndonagh,55.25,-7.2667,11.79,86,100,5.1,IE,1669906253
434,lucapa,-8.4192,20.7447,23.81,88,100,1.47,AO,1669906254
435,mount isa,-20.7333,139.5,21.87,33,0,3.09,AU,1669906255
436,ribeira brava,32.65,-17.0667,23.89,71,18,2.02,PT,1669906256
437,cidreira,-30.1811,-50.2056,24.04,82,100,7.37,BR,1669906257
438,aiken,33.5835,-81.5998,8.94,45,0,3.6,US,1669906257
439,marzuq,14.4,46.4667,21.62,35,0,1.26,YE,1669906258
440,noyabrsk,63.1994,75.4507,-25.63,92,31,2.82,RU,1669906259
441,jinxiang,27.4327,120.6062,8.18,84,100,4.99,CN,1669906259
442,murgud,16.4,74.2,21.85,44,0,1.4,IN,1669906260
443,barra patuca,15.8,-84.2833,26.93,81,19,5.37,HN,1669906260
444,lagoa,39.05,-27.9833,15.8,85,18,12.98,PT,1669906261
445,watertown,42.3709,-71.1828,4.6,48,20,6.69,US,1669906262
446,sri aman,1.2376,111.4621,25.05,94,100,1.54,MY,1669906263
447,samfya,-11.3649,29.5565,22.96,70,45,0.61,ZM,1669906263
448,mahajanga,-15.7167,46.3167,29.01,74,40,5.66,MG,1669906264
449,ucluelet,48.9329,-125.5528,-1.06,91,68,2.96,CA,1669906265
450,jaciara,-15.9653,-54.9683,31.31,39,97,2.8,BR,1669906265
451,saint-augustin,51.226,-58.6502,2.38,98,100,8.67,CA,1669906266
452,karaton,-6.3424,106.1045,23.75,87,89,2.94,ID,1669906266
